INFO  - 2013-12-19 10:32:07.448; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2013-12-19 10:32:07.492; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.MMapDirectory@/home/mlp/flax/hackday/ukmp/solr/collection1/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@62aa2ac9; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_c,generation=12}
INFO  - 2013-12-19 10:32:07.493; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 12
INFO  - 2013-12-19 10:32:07.531; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@2bf37fa main
INFO  - 2013-12-19 10:32:07.535; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2013-12-19 10:32:07.541; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2013-12-19 10:32:07.547; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2013-12-19 10:32:07.549; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /home/mlp/flax/hackday/ukmp/solr/collection1/conf/elevate.xml
INFO  - 2013-12-19 10:32:07.575; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2013-12-19 10:32:07.576; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2013-12-19 10:32:07.576; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@2bf37fa main{StandardDirectoryReader(segments_c:50:nrt _g(4.6):C2481/246:delGen=1 _f(4.6):C246 _h(4.6):C34)}
INFO  - 2013-12-19 10:32:07.583; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/home/mlp/flax/solr-4.6.0/example
INFO  - 2013-12-19 10:32:07.584; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2013-12-19 10:32:07.619; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
